keys,es,en
PREVIEW_LB,Previsualizando:,Previewing:
SET_WP_BTN,Poner como fondo de pantalla,Set as wallpaper
OPEN_IMG_VWR_BTN,Abrir en visor de fotos,Open in image viewer
ADD_WP_BTN,Añadir fondos de pantalla,Add wallpapers
DRAG_AND_DROP_LB,Puedes añadir nuevos fondos de pantalla arrastrándolos a esta ventana,You can add new wallpapers by dragging files to this window
WP_COUNT_LB,Fondos de pantalla:,Wallpapers:
THUMB_SCALE_LB,Escala:,Scale:
WP_IMPORT_WINDOW_TTL,Cargador de fondos de pantalla,Wallpaper loader
WP_IMPORT_HEADER_LB,Listado de fondos de pantalla a cargar,List of wallpapers to load
WP_IMPORT_WP_NO_LB,N.º de fondos de pantalla:,No. of wallpapers:
WP_IMPORT_LOAD_BTN,Cargar,Load
P_BAR_WINDOW_TTL,Barra de progreso,Progress bar
P_BAR_IMPORTING_INFO_LB,Importando fondos de pantalla...,Importing wallpapers...
P_BAR_RESTORING_THUMBS_LB,Restaurando miniaturas con el factor de escala: %d%%...,Restoring thumbnails with scale factor: %d%%...
P_BAR_RESTORING_PRVW_LB,Restaurando imágenes de previsualización con el factor de escala: %d%%...,Restoring preview images with scale factor: %d%%...
STTS_WINDOW_TTL,Configuración,Settings
STTS_DIR_HEADER_LB,Carpetas ,Folders
STTS_WPS_DIR_LB,Carpeta para los fondos de pantalla,Folder for wallpapers
STTS_PROCESS_PRVW_CB,Procesar imágenes de previsualización,Process preview images
STTS_CMDS_HEADER_LB,Comandos,Commands
STTS_SET_AS_WP_SCRIPT_LB,Poner como fondo de pantalla (script),Set as wallpaper (script)
STTS_IMG_PROC_HEADER_LB,Procesamiento de imágenes,Image processing
STTS_THUMBS_PROC_LB,Miniaturas,Thumbnails
STTS_PRVW_PROC_LB,Imágenes de previsualización,Preview images
STTS_DF_LB,Factor de reescalado,Downscale factor
STTS_APPLY_BTN,Aplicar,Apply
STTS_XFORM_THUMBS_LB,Renderizando miniaturas con el factor de escala: %d%%...,Rendering thumbnails with scale factor: %d%%...
